Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,실제 값,예측 값
27.08,46.95,1042,541,12837,19471,938.972,2.07,2.15,14.27,2.225,0.05,12747,1,1
24.44,53.92,1153,402,12930,19449,938.756,1.55,1.61,10.68,1.666,0.038,19976,1,1
13.8,49.57,0,402,12596,19684,939.803,0.69,1.57,2.64,1.765,0.844,196,0,0
16.76,53.06,83,400,13113,19979,939.615,0.55,0.57,3.76,0.586,0.013,1931,0,0
12.006,52.99,1220,436,12870,19432,938.808,1.93,2.0,13.25,2.067,0.047,15708,1,1
15.564,48.0,1170,404,12897,19433,938.758,1.77,1.84,12.19,1.9,0.043,17356,1,1
18.558,45.07,198,445,12763,20518,937.396,1.93,2.01,13.3,2.075,0.047,3176,0,0
10.994,50.86,1356,426,12982,19383,938.853,2.24,2.33,15.42,2.405,0.054,24815,1,1
27.02,42.87,179,464,12757,20539,937.305,1.91,1.98,13.13,2.047,0.046,2454,0,0
22.09,56.75,229,400,13165,19989,939.671,2.54,2.64,17.46,2.723,0.062,3324,1,1
17.377,53.85,1247,420,12920,19419,938.745,1.47,1.53,10.13,1.58,0.036,19915,1,1
21.602,52.95,17,400,13139,20041,939.642,0.83,0.86,5.71,0.891,0.02,2106,0,0
-4.087,42.12,170,448,12764,20550,937.41,2.03,2.11,14.0,2.183,0.049,1794,0,0
27.06,47.11,1053,481,12858,19471,938.924,1.86,1.93,12.8,1.996,0.045,14005,1,1
-2.281,57.34,883,721,12771,19504,939.147,2.17,2.25,14.93,2.328,0.053,10096,1,1
24.34,53.08,1094,632,12803,19450,939.066,1.74,1.81,11.97,1.866,0.042,11630,1,1
27.02,47.7,1193,400,12925,19430,938.674,1.74,1.81,12.0,1.872,0.042,19463,1,1
29.49,40.08,79,400,12832,20698,937.527,2.0,2.08,13.78,2.149,0.049,402,0,0
24.276,49.76,17,400,12696,19736,939.796,0.07,0.09,0.43,0.1,0.022,364,0,0
14.707,50.91,1163,481,12854,19432,938.878,1.95,2.03,13.44,2.095,0.047,14617,1,1
